Function,Schedule,Speedup
function_blur_LARGE,P(L0) ,6.127139091491699
function_blur_MEDIUM,P(L0) ,4.4459452629089355
function_blur_MINI,"P(L0)T2(L0,L1,32,32)U(L2,8) ",0.7155197262763977
function_blur_SMALL,"P(L0)T2(L0,L1,32,32) ",1.566576600074768
function_blur_XLARGE,P(L0) ,6.150074005126953
function_heat2d_LARGE,P(L0) ,3.3139727115631104
function_heat2d_MEDIUM,"P(L0)T2(L0,L1,32,32)U(L1,8) ",1.439125895500183
function_heat2d_MINI,"P(L0)T2(L0,L1,32,32)U(L1,8) ",0.3695984184741974
function_heat2d_SMALL,"P(L0)T2(L0,L1,32,32) ",0.7654494047164917
function_heat2d_XLARGE,P(L0) ,4.716958522796631
function_heat3d_LARGE,"S(L0,L1,2,1)P(L1)U(L3,16) ",13.460504531860352
function_heat3d_MEDIUM,"S(L0,L1,2,1)P(L1) ",3.3566133975982666
function_heat3d_MINI,"S(L0,L1,2,1)P(L1)T3(L1,L2,L3,32,32,32)U(L3,8) ",1.2829121351242065
function_heat3d_SMALL,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.3589659929275513
function_jacobi1d_LARGE,"S(L0,L1,2,1)P(L1) ",1.0019328594207764
function_jacobi1d_MEDIUM,"S(L0,L1,2,1)P(L1) ",1.00167977809906
function_jacobi1d_MINI,"S(L0,L1,2,1)P(L1) ",1.0039912462234497
function_jacobi1d_SMALL,"S(L0,L1,2,1)P(L1) ",1.0040245056152344
function_jacobi1d_XLARGE,"S(L0,L1,2,1)P(L1) ",1.0049679279327393
function_jacobi2d_LARGE,"S(L0,L1,2,1)P(L1)U(L2,16) ",9.622673988342285
function_jacobi2d_MEDIUM,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",3.012279987335205
function_jacobi2d_MINI,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.1586328744888306
function_jacobi2d_SMALL,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.4034228324890137
function_matmul_LARGE,"P(L0)U(L2,16) ",23.69797706604004
function_matmul_MEDIUM,"P(L0)U(L2,16) ",21.432268142700195
function_matmul_MINI,"P(L0)T2(L0,L1,32,32)U(L2,8) ",1.4642142057418823
function_matmul_SMALL,"P(L0)U(L2,16) ",14.992259979248047
function_seidel2d_LARGE,"S(L0,L1,2,1)P(L1)U(L2,16) ",9.825769424438477
function_seidel2d_MEDIUM,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",2.183351993560791
function_seidel2d_MINI,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.1654127836227417
function_seidel2d_SMALL,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.3281265497207642
Mean,,4.6894298
Geometric mean,,2.4790382656324543
