Function,Schedule,Speedup
function_blur_LARGE,"P(L0)U(L2,8) ",4.787790775299072
function_blur_MEDIUM,"P(L0)U(L2,8) ",3.37076997756958
function_blur_MINI,"P(L0)T2(L0,L1,32,32) ",1.3482071161270142
function_blur_SMALL,"P(L0)U(L2,8) ",1.6635000705718994
function_blur_XLARGE,"P(L0)U(L2,8) ",5.382111072540283
function_heat2d_LARGE,"P(L0)U(L1,8) ",3.9326677322387695
function_heat2d_MEDIUM,"P(L0)T2(L0,L1,32,32) ",1.7004510164260864
function_heat2d_MINI,"P(L0)T2(L0,L1,32,32)U(L1,8) ",0.3695984184741974
function_heat2d_SMALL,"P(L0)T2(L0,L1,32,32) ",0.7654494047164917
function_heat2d_XLARGE,"P(L0)U(L1,8) ",5.3033127784729
function_heat3d_LARGE,"S(L0,L1,2,1)P(L1)U(L3,8) ",13.473481178283691
function_heat3d_MEDIUM,"S(L0,L1,2,1)P(L1)U(L3,8) ",3.672057867050171
function_heat3d_MINI,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.3324370384216309
function_heat3d_SMALL,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.3589659929275513
function_jacobi1d_LARGE,"S(L0,L1,2,1)T2(L0,L1,32,32) ",1.7513798475265503
function_jacobi1d_MEDIUM,"S(L0,L1,2,1)P(L1) ",1.00167977809906
function_jacobi1d_MINI,"S(L0,L1,2,1)P(L1) ",1.0039912462234497
function_jacobi1d_SMALL,"S(L0,L1,2,1)P(L1) ",1.0040245056152344
function_jacobi1d_XLARGE,"S(L0,L1,2,1)P(L1) ",1.0049679279327393
function_jacobi2d_LARGE,"S(L0,L1,2,1)P(L1)U(L2,8) ",9.578853607177734
function_jacobi2d_MEDIUM,"S(L0,L1,2,1)P(L1)U(L2,8) ",1.8485569953918457
function_jacobi2d_MINI,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.1586328744888306
function_jacobi2d_SMALL,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.4034228324890137
function_matmul_LARGE,"P(L0)T2(L1,L2,32,32)U(L2,8) ",55.20111846923828
function_matmul_MEDIUM,"P(L0)U(L2,8) ",21.282360076904297
function_matmul_MINI,"P(L0)T2(L0,L1,32,32) ",1.4342186450958252
function_matmul_SMALL,"P(L0)U(L2,8) ",14.984762191772461
function_seidel2d_LARGE,"S(L0,L1,2,1)P(L1)U(L2,8) ",9.663475036621094
function_seidel2d_MEDIUM,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",2.183351993560791
function_seidel2d_MINI,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.1654127836227417
function_seidel2d_SMALL,"S(L0,L1,2,1)P(L1)T2(L0,L1,32,32) ",1.3281265497207642
Mean,,5.659972
Geometric mean,,2.6008378970349164
